company,sector,status,tahun_lk,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
AALI,consumer non-cyclicals,alive,2015,0.8,0.32,0.69,0.46,1.84,2.88,5.49,0.24,0.14,0.05,-0.75,-0.2,-0.73,0.65,6.72,-18.44,393.15,8292.91,7166.12,46.94,2.23,2.58
AALI,consumer non-cyclicals,alive,2016,1.03,0.5,0.24,0.27,1.38,8.28,11.71,0.26,0.19,0.15,1.65,0.08,2.04,0.62,5.51,130.06,1042.75,7336.97,8902.89,16.09,2.29,1.88
AALI,consumer non-cyclicals,alive,2017,1.84,0.96,0.22,0.26,1.35,8.06,11.13,0.24,0.18,0.12,0.0,0.23,0.0,0.7,6.4,8.94,1044.5,8991.42,9386.43,12.59,1.46,1.4
AALI,consumer non-cyclicals,alive,2018,1.46,0.69,0.25,0.27,1.38,5.36,7.58,0.19,0.12,0.08,-0.28,0.1,-0.28,0.74,7.09,13.4,747.4,9915.57,9866.34,15.82,1.19,1.2
AALI,consumer non-cyclicals,alive,2019,2.85,1.59,0.31,0.3,1.42,0.78,1.14,0.12,0.06,0.01,-0.85,-0.09,-0.84,0.65,7.05,6.01,109.69,9067.82,9622.94,132.87,1.61,1.51
AALI,consumer non-cyclicals,alive,2020,3.31,2.1,0.3,0.31,1.44,3.0,4.44,0.16,0.1,0.05,2.95,0.08,2.67,0.69,7.65,4.54,432.84,9771.47,9743.13,28.47,1.26,1.26
AALI,consumer non-cyclicals,alive,2021,1.58,1.07,0.28,0.3,1.44,6.48,9.56,0.2,0.14,0.08,1.37,0.29,1.31,0.84,7.51,7.04,1024.25,12636.88,10713.0,9.28,0.75,0.89
AALI,consumer non-cyclicals,alive,2022,3.6,2.01,0.19,0.24,1.31,5.9,7.96,0.18,0.11,0.08,-0.12,-0.1,-0.13,0.73,5.72,4.09,897.08,11341.36,11266.26,8.95,0.71,0.71
AALI,consumer non-cyclicals,alive,2023,1.83,1.09,0.18,0.22,1.28,3.66,4.8,0.13,0.06,0.05,-0.39,-0.05,-0.39,0.71,5.85,6.41,548.61,10778.61,11438.76,12.81,0.65,0.61
ABBA,consumer cyclicals,alive,2015,1.34,1.27,1.36,0.67,3.04,-9.27,-36.12,0.42,-0.06,-0.16,-5.53,-0.09,-7.5,0.69,20.22,6.93,-13.59,105.46,37.63,-3.68,0.47,1.33
ABBA,consumer cyclicals,alive,2016,1.34,1.29,1.09,0.63,2.68,-9.51,-30.87,0.38,-0.08,-0.15,0.09,0.0,-0.07,0.7,25.5,7.22,-14.77,105.39,47.83,-3.39,0.47,1.05
ABBA,consumer cyclicals,alive,2017,1.21,1.17,1.43,0.72,3.61,-6.49,-26.74,0.5,-0.03,-0.14,-0.32,-0.08,-0.13,0.63,25.01,10.47,-10.08,97.25,37.71,-4.96,0.51,1.33
ABBA,consumer cyclicals,alive,2018,0.7,0.66,0.73,0.61,2.59,-3.78,-9.65,0.44,-0.18,-0.17,-0.29,-0.21,-0.02,0.45,20.61,-3.73,-7.12,77.25,73.75,-13.48,1.24,1.3
ABBA,consumer cyclicals,alive,2019,0.79,0.75,1.45,0.78,4.49,-7.88,-30.38,0.41,-0.11,-0.18,0.66,0.18,0.22,0.54,21.54,-6.93,-11.81,91.13,38.88,-8.98,1.16,2.73
ABBA,consumer cyclicals,alive,2020,0.27,0.25,-2.37,1.47,-2.14,-20.26,62.9,0.48,-0.25,-0.37,0.38,-0.37,0.32,0.5,14.13,-0.93,-16.3,57.57,-25.91,-5.03,1.42,-3.16
ABBA,consumer cyclicals,alive,2021,0.36,0.33,0.06,0.69,3.18,-4.25,-8.15,0.46,-0.17,-0.21,-0.5,0.06,-0.38,0.45,19.31,-1.81,-8.09,61.27,99.15,-43.76,5.78,3.57
ABBA,consumer cyclicals,alive,2022,1.08,1.05,0.12,0.92,13.22,-5.66,-15.11,0.42,-0.19,-0.18,-0.31,0.01,-0.14,0.37,21.7,12.9,-5.59,43.25,37.01,-27.01,3.49,4.08
ABBA,consumer cyclicals,alive,2023,0.55,0.53,0.89,1.39,-2.56,-16.12,-226.34,0.29,-0.24,-0.26,0.99,0.18,0.69,0.61,32.21,-1.96,-11.1,51.01,4.91,-4.68,1.02,10.59
ABDA,financials,alive,2016,0.0,0.0,0.0,0.56,2.28,6.17,14.08,0.0,0.07,0.14,-0.35,0.08,-0.35,0.42,0.0,0.0,279.44,1935.91,1984.75,24.69,3.56,3.48
ABDA,financials,alive,2017,0.0,0.0,0.0,0.54,2.16,5.42,11.69,0.0,0.03,0.14,-0.07,-0.07,-0.07,0.39,0.0,0.0,259.05,1795.92,2215.34,27.99,4.04,3.27
ABDA,financials,alive,2018,0.0,0.0,0.0,0.54,2.17,2.39,5.18,0.0,-0.1,0.07,-0.57,-0.05,-0.57,0.36,0.0,0.0,111.32,1702.47,2149.33,62.66,4.1,3.25
ABDA,financials,alive,2019,0.0,0.0,0.0,0.51,2.06,3.39,6.98,0.0,-0.08,0.1,0.27,-0.14,0.27,0.33,0.0,0.0,140.98,1464.59,2019.33,49.48,4.76,3.45
ABMM,energy,alive,2014,1.03,0.91,3.13,0.82,5.56,-10.03,-54.86,0.21,-0.09,-0.16,-26.17,-0.07,-57.08,0.62,15.54,73.21,-513.62,0.26,936.24,-5.94,0.93,3.26
ABMM,energy,alive,2015,0.87,0.82,3.69,0.85,6.86,-3.1,-22.67,0.19,0.0,-0.07,-0.64,-0.1,-0.61,0.57,17.76,-12.94,-185.09,0.24,816.32,-15.67,0.91,3.55
ABMM,energy,alive,2016,0.79,0.72,3.05,0.85,6.74,1.17,7.16,0.22,0.07,0.01,-1.33,-0.1,-1.15,0.51,20.08,-7.52,61.09,0.21,853.26,33.23,0.71,2.38
ABMM,energy,alive,2017,1.6,1.46,2.88,0.84,6.42,0.53,3.06,0.22,0.08,0.01,-0.56,0.17,-0.45,0.65,19.24,5.38,27.09,0.25,883.79,84.9,0.68,2.6
ABMM,energy,alive,2018,1.46,1.32,1.37,0.71,3.44,7.56,24.36,0.23,0.18,0.09,11.51,0.12,16.7,0.83,20.1,7.43,338.97,0.28,1391.68,6.7,0.57,1.63
ABMM,energy,alive,2019,1.2,1.07,1.47,0.71,3.48,0.9,2.89,0.18,0.09,0.01,-0.89,-0.23,-0.94,0.69,16.01,13.65,38.83,0.22,1344.82,39.4,0.5,1.14
ABMM,energy,alive,2020,1.2,1.05,2.3,0.8,5.11,-4.45,-19.93,0.17,0.03,-0.06,-5.86,0.02,-10.69,0.75,15.57,12.18,-188.8,0.22,947.47,-4.03,0.24,0.8
ABMM,energy,alive,2021,1.65,1.52,1.11,0.66,2.9,14.31,42.92,0.36,0.3,0.18,-5.08,0.69,-5.93,1.1,17.08,5.24,769.36,0.37,1792.74,1.85,0.27,0.79
ABMM,energy,alive,2022,1.15,1.06,1.71,0.69,3.21,12.99,46.79,0.36,0.27,0.24,0.9,0.41,0.84,0.94,19.16,15.37,1458.38,0.53,3116.87,2.25,0.42,1.05
ABMM,energy,alive,2023,0.99,0.9,1.37,0.65,2.84,13.24,37.62,0.26,0.2,0.21,0.1,0.03,-0.08,0.71,19.87,-164.66,1601.26,0.54,4256.38,2.12,0.41,0.8
ACES,consumer cyclicals,alive,2015,5.98,2.29,0.02,0.2,1.24,18.01,22.39,0.48,0.16,0.12,0.06,0.04,0.07,1.53,1.77,2.31,34.3,276.53,153.24,24.05,2.98,5.38
ACES,consumer cyclicals,alive,2016,7.26,3.17,0.02,0.18,1.22,19.04,23.27,0.48,0.18,0.14,0.21,0.04,0.21,1.41,1.66,2.03,41.43,287.81,178.05,20.15,2.9,4.69
ACES,consumer cyclicals,alive,2017,7.02,3.16,0.02,0.21,1.26,17.56,22.14,0.48,0.16,0.13,0.09,0.2,0.11,1.46,1.8,2.06,45.35,346.27,204.83,25.47,3.34,5.64
ACES,consumer cyclicals,alive,2018,5.02,1.78,0.05,0.29,1.4,16.47,23.11,0.48,0.17,0.13,0.24,0.22,0.25,1.41,1.74,2.32,56.24,422.14,243.35,26.49,3.53,6.12
ACES,consumer cyclicals,alive,2019,5.58,2.19,0.03,0.3,1.42,15.32,21.82,0.48,0.17,0.13,0.05,0.12,0.05,1.3,1.65,2.27,59.32,474.79,271.82,25.2,3.15,5.5
ACES,consumer cyclicals,alive,2020,5.96,3.06,0.02,0.26,1.35,10.16,13.76,0.49,0.13,0.1,-0.28,-0.09,-0.29,1.07,1.47,1.77,42.75,432.23,310.6,40.12,3.97,5.52
ACES,consumer cyclicals,alive,2021,7.19,3.91,0.02,0.22,1.29,9.63,12.45,0.49,0.14,0.11,-0.06,-0.12,-0.04,0.91,1.38,1.46,40.28,381.54,323.41,31.78,3.35,3.96
ACES,consumer cyclicals,alive,2022,8.01,3.81,0.01,0.18,1.22,9.16,11.28,0.48,0.13,0.1,-0.04,0.03,-0.04,0.94,1.35,1.44,38.74,394.33,343.43,12.8,1.26,1.44
ACES,consumer cyclicals,alive,2023,7.45,3.96,0.01,0.2,1.25,9.88,12.53,0.49,0.13,0.1,0.16,0.13,0.14,1.01,1.43,1.54,44.92,444.32,358.59,16.03,1.62,2.01
ACST,infrastructures,alive,2015,1.33,1.32,0.53,0.66,2.9,2.17,6.31,0.17,0.1,0.03,-0.6,0.0,-0.59,0.8,149.42,3.47,83.84,2713.74,1327.82,21.37,0.66,1.35
ACST,infrastructures,alive,2016,1.8,1.79,0.2,0.48,1.92,2.73,5.25,0.16,0.07,0.04,0.16,0.32,0.6,0.81,487.09,1.94,97.61,2562.86,1858.64,17.14,0.65,0.9
ACST,infrastructures,alive,2017,1.27,1.27,1.27,0.73,3.69,2.91,10.93,0.15,0.07,0.05,1.26,0.69,1.28,0.78,671.23,3.0,220.35,4324.27,2015.13,6.63,0.34,0.72
ACST,infrastructures,alive,2018,1.1,1.09,2.24,0.84,6.26,0.2,1.33,0.19,0.1,0.01,-0.88,0.23,-0.86,0.52,169.75,5.19,26.12,5321.85,1961.73,35.34,0.17,0.47
ACST,infrastructures,alive,2019,0.95,0.94,17.66,0.97,36.47,-10.88,-497.64,-0.03,-0.14,-0.29,-63.14,0.06,-53.84,0.41,121.7,-7.34,-1623.19,5638.82,326.18,-0.35,0.1,1.76
ACST,infrastructures,alive,2020,0.84,0.83,3.55,0.89,9.43,-43.31,-480.63,-0.25,-0.93,-1.11,-0.87,-0.69,0.18,0.18,37.17,-2.94,-205.94,187.46,42.85,-2.14,2.35,10.27
ACST,infrastructures,alive,2021,1.4,1.38,0.0,0.55,2.22,-28.06,-64.12,-0.1,-0.44,-0.46,-0.73,0.24,-0.48,0.54,40.5,2.88,-54.87,117.92,85.58,-3.83,1.78,2.45
ACST,infrastructures,alive,2022,1.15,1.13,0.0,0.68,3.15,-21.26,-69.84,-0.3,-0.48,-0.44,-0.35,-0.31,-0.35,0.45,42.65,4.96,-35.42,81.8,50.71,-4.43,1.92,3.1
ACST,infrastructures,alive,2023,1.0,0.99,0.11,0.85,6.59,-10.36,-72.17,-0.02,-0.11,-0.12,-0.4,1.27,-0.39,1.0,88.18,-747.82,-21.31,185.37,29.53,-6.38,0.73,4.61
ADES,consumer non-cyclicals,alive,2015,1.39,0.89,0.52,0.5,1.99,5.03,10.0,0.51,0.07,0.05,-0.37,0.16,-0.37,1.16,3.44,8.7,55.67,1135.33,556.65,18.23,0.89,1.82
ADES,consumer non-cyclicals,alive,2016,1.64,1.15,0.53,0.5,2.0,7.29,14.56,0.52,0.09,0.06,0.7,0.33,0.7,1.25,4.4,7.15,94.85,1504.78,651.62,10.54,0.66,1.53
ADES,consumer non-cyclicals,alive,2017,1.2,0.76,0.48,0.5,1.99,4.55,9.04,0.54,0.08,0.05,-0.32,-0.08,-0.32,1.01,3.69,16.5,64.83,1380.73,717.09,13.65,0.64,1.23
ADES,consumer non-cyclicals,alive,2018,1.39,0.97,0.36,0.45,1.83,6.01,10.99,0.48,0.1,0.07,0.38,-0.01,0.38,0.93,3.82,7.91,89.78,1363.46,816.95,10.25,0.67,1.13
ADES,consumer non-cyclicals,alive,2019,2.0,1.55,0.05,0.31,1.45,10.2,14.77,0.5,0.15,0.1,0.58,0.04,0.58,0.98,4.44,4.74,142.2,1414.37,962.77,7.35,0.74,1.09
ADES,consumer non-cyclicals,alive,2020,2.97,2.53,0.01,0.27,1.37,14.16,19.38,0.51,0.26,0.2,0.62,-0.19,0.62,0.76,4.16,1.86,230.19,1141.49,1187.51,6.34,1.28,1.23
ADES,consumer non-cyclicals,alive,2021,2.51,2.14,0.0,0.26,1.34,20.38,27.4,0.53,0.35,0.28,0.96,0.39,0.96,0.83,4.88,2.31,450.52,1585.15,1644.05,7.3,2.08,2.0
ADES,consumer non-cyclicals,alive,2022,3.2,2.62,0.0,0.19,1.23,22.18,27.34,0.52,0.34,0.28,0.37,0.38,0.37,0.88,5.03,2.3,618.7,2188.5,2262.83,11.6,3.28,3.17
ADES,consumer non-cyclicals,alive,2023,4.12,3.59,0.0,0.17,1.21,18.98,22.88,0.53,0.32,0.26,0.08,0.18,0.08,0.82,4.69,1.64,670.96,2585.95,2932.39,14.42,3.74,3.3
ADHI,infrastructures,alive,2015,1.56,1.54,0.56,0.69,3.25,2.77,9.0,0.1,0.09,0.05,-0.28,0.09,0.42,0.69,57.12,1.78,130.22,2636.89,1447.36,16.43,0.81,1.48
ADHI,infrastructures,alive,2016,1.29,1.28,0.79,0.72,3.69,1.56,5.77,0.1,0.08,0.03,-0.32,0.18,-0.32,0.6,67.76,2.92,88.03,3107.11,1525.83,23.63,0.67,1.36
ADHI,infrastructures,alive,2017,1.41,1.2,1.46,0.79,4.83,1.82,8.8,0.14,0.09,0.03,0.64,0.37,0.64,0.63,6.87,2.11,144.75,4256.34,1645.46,13.02,0.44,1.15
ADHI,infrastructures,alive,2018,1.34,1.11,1.36,0.79,4.79,2.14,10.27,0.16,0.11,0.04,0.25,0.03,0.25,0.54,3.27,2.42,180.9,4396.56,1762.08,8.76,0.36,0.9
ADHI,infrastructures,alive,2019,1.24,1.04,1.55,0.81,5.34,1.82,9.75,0.15,0.11,0.04,0.03,-0.02,0.03,0.46,2.84,2.63,186.42,4298.94,1912.47,6.3,0.27,0.61
ADHI,infrastructures,alive,2020,1.11,0.88,1.69,0.85,6.83,0.06,0.43,0.16,0.11,0.0,-0.96,-0.29,-0.96,0.29,1.64,3.58,6.73,3040.76,1558.13,228.23,0.51,0.99
ADHI,infrastructures,alive,2021,1.02,0.78,1.81,0.86,7.05,0.14,0.99,0.15,0.11,0.01,1.3,0.06,2.65,0.3,1.42,24.35,15.5,3238.12,1572.61,57.81,0.28,0.57
ADHI,infrastructures,alive,2022,1.2,0.92,1.19,0.78,4.53,0.2,0.97,0.13,0.1,0.01,-0.38,0.18,1.03,0.34,1.63,2.72,9.66,1611.52,998.26,50.1,0.3,0.48
ADHI,infrastructures,alive,2023,1.14,0.92,1.35,0.77,4.39,0.53,2.48,0.12,0.08,0.01,1.64,0.48,0.65,0.5,2.8,5.58,25.46,2387.48,1024.74,12.25,0.13,0.3
ADMF,financials,alive,2016,0.0,0.0,0.0,0.82,5.55,3.65,20.28,0.0,0.2,0.12,0.52,0.04,0.52,0.3,0.0,0.0,1009.35,8413.07,4977.2,6.69,0.8,1.36
ADMF,financials,alive,2017,0.0,0.0,0.0,0.81,5.13,4.78,24.53,0.0,0.23,0.15,0.4,0.09,0.4,0.32,0.0,0.0,1409.15,9136.87,5745.41,5.06,0.78,1.24
ADMF,financials,alive,2018,0.0,0.0,0.0,0.78,4.48,5.76,25.83,0.0,0.24,0.18,0.29,0.11,0.29,0.33,0.0,0.0,1815.26,10183.76,7028.2,5.01,0.89,1.29
ADMF,financials,alive,2019,0.0,0.0,0.0,0.77,4.35,6.0,26.1,0.0,0.25,0.19,0.16,0.11,0.16,0.34,0.0,0.0,2108.69,11337.73,8078.8,4.93,0.92,1.29
ADMG,basic materials,alive,2015,2.56,1.52,0.15,0.36,1.57,-5.58,-8.74,-0.05,-0.07,-0.08,0.08,-0.31,-0.02,0.72,4.81,3.28,-83.15,0.08,950.99,-1.07,0.08,0.09
ADMG,basic materials,alive,2016,1.86,1.05,0.1,0.36,1.55,-5.44,-8.43,-0.07,-0.1,-0.07,-0.14,-0.1,-0.15,0.68,4.93,4.53,-71.52,0.07,848.1,-1.76,0.13,0.15
ADMG,basic materials,alive,2017,2.15,1.26,0.08,0.36,1.56,-2.15,-3.35,0.02,-0.01,-0.02,-0.61,0.27,-0.58,0.93,5.78,4.38,-28.01,0.09,836.61,-8.78,0.2,0.29
ADMG,basic materials,alive,2018,4.69,2.55,0.02,0.13,1.15,-0.44,-0.51,0.04,0.02,0.0,-0.84,0.0,-0.85,1.11,5.87,3.59,-4.6,0.09,907.57,-68.26,0.24,0.35
ADMG,basic materials,alive,2019,3.25,1.71,0.0,0.19,1.23,-11.8,-14.49,-0.08,-0.12,-0.13,22.4,-0.35,21.68,0.87,4.61,3.11,-107.63,0.06,742.83,-1.73,0.22,0.25
ADMG,basic materials,alive,2020,3.49,1.94,0.0,0.19,1.23,-19.42,-23.86,-0.12,-0.17,-0.25,0.35,-0.35,0.31,0.69,4.1,2.84,-144.93,0.04,607.34,-1.61,0.41,0.39
ADMG,basic materials,alive,2021,3.46,1.98,0.0,0.16,1.19,0.17,0.2,0.0,-0.03,0.0,-1.01,0.25,-1.01,0.94,5.51,3.27,1.29,0.05,630.99,156.59,0.29,0.32
ADMG,basic materials,alive,2022,2.72,1.32,0.0,0.16,1.18,-14.83,-17.56,-0.07,-0.11,-0.19,-80.29,-0.25,-76.16,0.76,4.71,3.71,-102.29,0.04,582.4,-1.48,0.28,0.26
ADMG,basic materials,alive,2023,2.01,0.97,0.0,0.21,1.26,-11.9,-14.99,-0.02,-0.07,-0.18,-0.27,-0.27,-0.29,0.62,3.58,3.72,-74.98,0.03,500.23,-1.83,0.33,0.27
ADRO,energy,alive,2014,1.64,1.52,0.7,0.49,1.97,2.78,6.44,0.22,0.15,0.06,-0.21,0.01,-0.2,0.51,26.39,6.69,69.3,0.1,1076.01,15.01,0.8,0.97
ADRO,energy,alive,2015,2.4,2.24,0.77,0.44,1.78,2.48,5.16,0.2,0.12,0.06,-0.08,-0.19,-0.18,0.44,25.98,4.08,63.82,0.08,1236.01,8.07,0.46,0.42
ADRO,energy,alive,2016,2.47,2.36,0.47,0.42,1.72,5.08,10.53,0.27,0.23,0.13,1.18,-0.06,1.26,0.4,24.59,2.64,139.22,0.08,1321.7,12.17,1.61,1.28
ADRO,energy,alive,2017,2.56,2.45,0.4,0.4,1.67,7.01,13.77,0.35,0.29,0.16,0.45,0.29,0.57,0.48,26.42,2.67,202.23,0.1,1469.02,9.2,1.36,1.27
ADRO,energy,alive,2018,1.96,1.82,0.39,0.39,1.64,5.82,11.26,0.33,0.25,0.13,-0.08,0.11,-0.11,0.53,24.7,4.54,186.09,0.11,1652.64,6.53,0.75,0.74
ADRO,energy,alive,2019,1.71,1.61,0.53,0.45,1.81,5.7,11.03,0.28,0.18,0.13,-0.04,-0.04,-0.09,0.48,21.34,4.01,178.76,0.11,1621.08,8.7,1.02,0.96
ADRO,energy,alive,2020,1.51,1.42,0.4,0.38,1.61,2.38,4.09,0.23,0.11,0.06,-0.63,-0.27,-0.64,0.39,18.03,4.47,66.96,0.08,1636.93,21.36,1.24,0.87
ADRO,energy,alive,2021,2.08,1.99,0.39,0.41,1.7,12.33,22.62,0.44,0.38,0.26,5.24,0.58,5.49,0.58,19.41,2.71,417.68,0.12,1846.59,5.39,1.26,1.22
ADRO,energy,alive,2022,2.17,2.09,0.26,0.39,1.65,22.06,39.48,0.57,0.53,0.35,1.78,1.03,1.75,0.87,20.94,2.69,1159.48,0.25,2936.77,3.32,1.02,1.31
ADRO,energy,alive,2023,2.01,1.93,0.21,0.29,1.41,15.49,23.95,0.41,0.36,0.87,-0.32,-0.74,-0.34,0.2,6.73,0.97,782.82,0.07,3269.03,3.04,2.34,0.73
